CATEGORIA;CLASSE;TIPOLOGIA DOCUMENTARIA;CONSERVAZIONE
1;6;VERBALI DELLE ADUNANZE DEGLI ESECUTIVI CIRCOSCRIZIONALI: UN REPERTORIO ANNUALE PER CIASCUNA CIRCOSCRIZIONE;PERMANENTE
1;6;VERBALI DELLE ADUNANZE DEI CONSIGLI CIRCOSCRIZIONALI: UN REPERTORIO ANNUALE PER CIASCUNA CIRCOSCRIZIONE;PERMANENTE
1;6;VERBALI DELLE ADUNANZE DEL CONSIGLIO COMUNALE: REPERTORIO;PERMANENTE
1;6;VERBALI DELLE ADUNANZE DELLA GIUNTA COMUNALE: REPERTORIO;PERMANENTE
1;7;ORGANIZZAZIONE DEL SISTEMA;PERMANENTE
1;7;STATISTICHE;PERMANENTE, DOPO L’ELIMINAZIONE DEI MATERIALI PREPARATORI
1;8;ATTI DEL DIFENSORE CIVICO;PERMANENTE
1;8;BANDI E AVVISI A STAMPA;PERMANENTE
1;8;INIZIATIVE SPECIFICHE DELL’URP: UN FASC. PER CIASCUN AFFARE;PERMANENTE, DOPO SFOLTIMENTO DEL CARTEGGIO DI CARATTERE TRANSITORIO E STRUMENTALE
1;8;MATERIALI PREPARATORI PER IL SITO WEB;PERMANENTE
1;8;RECLAMI DEI CITTADINI (COMUNQUE PERVENUTI);PERMANENTE
1;9;ATTRIBUZIONE DI COMPETENZE AGLI UFFICI;PERMANENTE
1;9;MATERIALE PREPARATORIO PER LE DELIBERAZIONI IN MATERIA DI POLITICA DEL PERSONALE;10 ANNI
1;9;ORARI DI APERTURA DEGLI UFFICI COMUNALI E DEGLI ALTRI UFFICI E ATTIVITÀ INSISTENTI SUL TERRITORIO COMUNALE;PERMANENTE
1;9;ORGANIGRAMMA: UN FASC. PER CIASCUNA DEFINIZIONE DELL’ORGANIGRAMMA;PERMANENTE
1;9;ORGANIZZAZIONE DEGLI UFFICI: UN FASC. PER CIASCUN AFFARE;PERMANENTE
10;1;AUTORIZZAZIONI SANITARIE: REPERTORIO ANNUALE;PERMANENTE
10;1;CONCESSIONI DI AGIBILITÀ: REPERTORIO ANNUALE;PERMANENTE
10;1;EMERGENZE SANITARIE: UN FASC. PER CIASCUN EVENTO;PERMANENTE
10;1;FASCICOLI DEI RICHIEDENTI AUTORIZZAZIONI SANITARIE: UN FASC. PER CIASCUNA PERSONA/DITTA;5 ANNI DALLA CESSAZIONE DELL’ATTIVITÀ
10;1;FASCICOLI DEI RICHIEDENTI L’AGIBILITÀ: UN FASC. PER CIASCUN RICHIEDENTE;PERMANENTE
10;1;INTERVENTI DI DERATTIZZAZIONE, DEZANZARIZZAZIONE ETC.: UN FASC. PERCIASCUN INTERVENTO;1 ANNO
10;1;MISURE DI IGIENE PUBBLICA: UN FASC. PER CIASCUN AFFARE;PERMANENTE
